q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q1a,q1b,q1c,q1d,q1e,q2a,q2b,q2c,q2d,q2e,q2f,q2g,q2h,q2i,q2j,q2k,q2l,q2m,q2n,county,dist_river,dist_lake,dist_coast,q3
75,2,3,1,2,0,1,1,2,1,2,4,4,1,4,5,5,4,1,1,3,3,2,1,4,1,1,3,3,1,12139.798,26257.684,47365.824,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,12127.508,26970.166,47970.367, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,12574.195,26794.754,48117.199, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,11580.682,22651.285,47842.605, 
70,2,3,4,1,0,5,1,2,4,5,5,1,1,5,5,4,5,5,5,5,5,5,1,5,5,5,5,5,1,5196.51,21953.361,42501.656,2
38,1,3,1,4,0,3,4,2,1,3,5,5,1,3,5,5,5,5,5,4,5,4,4,1,3,1,1,3,1,7801.106,18317.43,42905.395,2
56,1,3,1,3,1,4,5,2,2,2,5,3,3,3,5,5,4,4,5,5,5,5,3,1,5,4,1,3,1,12526.935,29064.648,49882.461,1
48,2,3,3,1, ,4,2,2,2,3,5,3,1,3,4,4,4,3, ,4,4,3,2,4,5,1,5,3,1, , , ,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,13886.771,26334.104,48571.527, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,13785.354,27197.498,49222.457, 
33,2,3,2,5,2,3,2,2,4,4,5,5,1,3,5,5,5,3,4,5,5,5,3,1,5,1,5,1,1,14730.145,29829.928,51788.418,2
36,1,3,1,3,1,4,3,2,4,5,5,2,1,3,4,4,4,3,4,4,5,4,2,2,3,1,3,2,1,11968.799,31684.154,52147.531,2
44,2,3,1,4,1,2,4,2,2,3,5,2,1,5,5,3,5,2,3,5,5,3,3,1,3,1,3,1,1,12111.138,27724.666,48581.27,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , 
47,2,3,1,2,0,3,4,2,1,5,5,2,1,3,5,5,4,4,3,3,3,3,3,3,3,1,1,1,1,4449.696,15889.717,41074.609,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,12459.766,26640.074,47910.777, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,11576.553,26672.137,47345.582, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,11576.42,26674.166,47347.258, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,12450.254,27012.631,48218.43, 
52,1,3,2,2,0,5,4,2,1,5,5,5,1,3,5,2,1,1,4,5,5,5,1,1,5,1,1,1,1, , , ,2
56,2,3,3,2,0,2,2,2,1,1,5,2,1,2,2,2,5,1,2,2,2,3,3,1,1,1,1,2,1,10748.501,32830.84,53656.586,2
65,1,3,1,2,0,5, ,2,1,1,5,5,1,3,4,1,4,1,1,4,4,3,1,3,4,1,1,3,1,12375.995,29020.719,49754.438,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,6394.335,25267.535,45859.879, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,6937.123,18116.33,43497.773, 
67,2,3,4,1,0,4,1,2,1,2,5,3,1,4,5,5,5,5,5,5,5,5,3,3,5,1,1,2,1,6094.191,17425.863,42694.539,2
63,1, ,1,5,3,2,2,2,1,2,5,3,1,3,2,1,4,1,3,3,4,4,1,1,1,1,5,2,1,13107.433,27057.344,48681.504,2
75,1,3,1,2,0,2,5,2,1,1,5,5,1,1,3,3,4,4,4,4,5,4,4,3,4,1,5,5,1,15797.092,28581.133,51501.926,2
64,1,3,1,3,0,5, ,2,1,1,2,2, ,1,2,3,3,1,2,1,2,3,4,4,3,3,3,1,1, , , ,2
46,1,3,1,3,0,3,5,2,1,2,4,5,3,3,5,4,2,1,1,4,2,5,1,2,2,1,1,4,1, , , ,2
45,1,3,1,2,0,2,1,1,1,1,5,5,1,3,4,3,3,4,1,4,3,3,1,4,4,1,3,1,1,11864.861,21426.689,42546.066,2
52,2,3,4,2,1,4,3,2,1,3,5,2,1,4,5,5,5,4,4,4,5,5,3,2,5,1,2,4,1,6397.115,24511.346,45018.563,2
38,1,3,2,1,0,4,4,2,1,2,5,5,1,4,5,5,5,3,4,5,4,5,4,4,5,3,2,2,1,12527.147,29174.857,49964.105,1
54,1,5,3,1,2,2,2,2,4,3,3,3, , ,5,5,5, , ,5,5,5,5,1,5,5,5,2,1,9042.522,28609.855,49164.625,2
87,1,3,4,1,0, , ,2,1,4,4,1,2,5,4,4,4,2,5,4,4,4,1,4,1, ,2,2,1,9623.53,28825.471,49276.102,2
70,1,1,1,2,0,1,1,2,1, ,5, , , , , , , , , ,5, , , , , , , ,1,3032.247,26263.455,50837.23,1
22,2,3,2,2,0,4,4,2,4,3,3,2,1,3,4,3,5,3,4,2,4,2,2,1,2,1,1,1,1,10382.017,34118.637,59115.93,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , 
39,1,3,2,4,3,2,5,2,4,1,5,5,1,3,4,4,2,2,3,2,2,2,1,1,2,1,3,1,1,8253.266,31966.826,56408.832,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,465.869,21890.898,42946.699, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10005.983,33734.188,58065.324, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,6257.339,29692.711,55667.652, 
51,2,3,4,4,2,2,2,2,1,3,4,2,1,4,4,2,3,3,3,3,3,3,4,1,4,1,4,3,1,6628.267,29397.939,52429.891,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,6006.834,28903.594,51606.758, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,6529.246,6915.064,33866.727, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,6835.994,25566.463,46109.055, 
56,1,6,1,2,0,3,2,1,1,3,5,4,1,2,4,2,3,2,2,3,2,5,4,3,1,2,2,3,2, , , ,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1401.67,5734.907,5734.907, 
73,2,5,4,1, ,5,1,2,1, , , , , , ,3,4,4,5,5,5,5, , , , , , ,2,1005.81,2231.861,2231.861,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1809.603,3098.746,3098.746, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1638.861,3688.703,3688.703, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1775.605,3551.391,3551.391, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,846.351,2114.004,2114.004, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,51.865,51.865,51.865, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,788.139,5328.917,5328.917, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , 
37,2,3,1,2,0,5,3,2,1,4,4,5,3,2,5,5,2,3,3,4,4,5,5,5,5,4,1,5,2,1531.899,3518.17,3518.17,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1065.022,6230.197,6230.197, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,315.495,2781.294,2781.294, 
58,1,3,1,2,0,2,5,2,2, , , , , , , , , , , , , , , , , , , ,2,573.076,2811.724,2811.724, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , 
31,1,3,1,4,0,4,5,2,2,4,4,5,3,3,5,3,5,3,3,5,4,4,4,1,3,3,2,1,2,693.301,2272.281,2272.281,2
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1425.968,4826.696,4826.696, 
