Age,Gender,r_white,r_black,r_native,r_hispanic,m_married,m_single,HouseholdSize,NumChd,Edu,Income,Owner,h_singlefam,h_mobile,CloseCoast,CloseWater,OfficialHurricWatch,OfficialEvac,SrcLocalAuth,SrcLocalMedia,SrcNationalMedia,SrcInternet,SrcPeers,SeeStormCond,SeeShopClose,SeePeerEvac,PrevStormExp,PrevFalseAlarm,ProtectFromLooter,ProtectFromStorm,LostIncome,EvacExpense,Traffic,DistCoast,DistRiver,DistLakeEvac
,0,1.0,0.0,0.0,,1.0,0.0,2,0,5,5,1,1.0,0.0,5,1,5,5,5,5,5,1,1,1,1,1,5,1,1,1,1,1,3,3085.013,882.363,
,1,1.0,0.0,0.0,,1.0,0.0,4,2,3,5,1,0.0,1.0,5,3,3,4,1,4,4,1,2,4,1,2,4,3,1,1,3,4,2,3085.013,882.363,
,0,1.0,0.0,0.0,,1.0,0.0,3,1,2,5,1,1.0,0.0,5,5,5,5,4,5,5,5,4,5,5,5,5,1,5,5,1,4,4,4073.206,1691.895,
,1,1.0,0.0,0.0,,1.0,0.0,2,0,3,1,1,1.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24171.031,1083.132,
,0,1.0,0.0,0.0,,1.0,0.0,8,5,3,5,1,1.0,0.0,4,4,4,4,5,4,3,3,3,5,2,2,4,4,3,3,1,1,3,24211.785,1024.255,
,0,1.0,0.0,0.0,,1.0,0.0,3,1,3,4,1,0.0,1.0,5,5,5,5,5,5,4,1,4,4,4,5,5,1,1,5,2,4,1,25384.07,969.972,
,1,1.0,0.0,0.0,,1.0,0.0,2,0,2,4,1,1.0,0.0,4,4,4,5,5,5,3,3,2,5,4,4,4,4,3,5,5,4,3,24623.893,1161.03,
,0,1.0,0.0,0.0,,1.0,0.0,4,1,2,2,1,1.0,0.0,5,5,5,5,1,5,5,4,5,5,2,5,4,3,3,1,4,3,1,24990.207,941.596,
,0,1.0,0.0,0.0,,0.0,0.0,1,0,3,1,1,0.0,1.0,5,5,3,4,1,5,3,1,1,1,1,2,5,1,1,5,1,4,4,25005.215,940.072,
,0,1.0,0.0,0.0,,1.0,0.0,2,0,3,3,1,1.0,0.0,5,5,5,5,2,5,3,1,5,5,3,5,5,5,5,5,1,5,5,24807.65,935.256,
,0,1.0,0.0,0.0,,1.0,0.0,2,0,5,2,1,1.0,0.0,3,3,3,3,3,5,5,1,2,3,3,3,5,5,4,4,4,5,5,24106.746,839.639,
,1,1.0,0.0,0.0,,1.0,0.0,3,0,2,5,1,0.0,1.0,5,5,5,5,5,5,5,3,5,5,3,5,5,3,5,5,1,1,5,25041.26,1259.282,
,0,1.0,0.0,0.0,,1.0,0.0,3,1,3,5,1,1.0,0.0,5,5,5,4,5,5,5,5,3,5,1,2,5,5,2,5,4,1,3,23243.627,1009.855,
,0,0.0,0.0,1.0,,0.0,1.0,3,0,5,3,1,1.0,0.0,5,5,5,5,1,4,1,1,3,5,5,5,5,5,5,4,2,4,5,24572.791,974.47,
,1,1.0,0.0,0.0,,1.0,0.0,4,2,2,4,1,1.0,0.0,4,4,2,3,4,5,5,1,3,4,4,1,3,3,1,1,1,2,4,25513.658,739.682,
,1,0.0,0.0,1.0,,1.0,0.0,2,0,2,4,1,1.0,0.0,5,5,5,2,3,5,3,1,1,1,1,1,5,1,1,1,1,1,1,25763.049,178.838,
,1,1.0,0.0,0.0,,0.0,1.0,1,0,3,1,1,1.0,0.0,4,3,2,5,5,3,1,1,2,1,1,2,2,4,2,2,1,3,4,25763.063,181.384,
,0,1.0,0.0,0.0,,0.0,1.0,1,0,2,5,0,0.0,0.0,5,5,4,3,1,4,1,1,1,5,1,1,5,5,4,4,1,1,5,23799.139,428.774,
,0,1.0,0.0,0.0,,1.0,0.0,2,0,4,5,1,0.0,0.0,5,5,5,5,5,5,1,1,1,5,4,5,5,1,1,5,1,5,5,23883.398,1296.373,
,1,1.0,0.0,0.0,,0.0,0.0,2,0,3,1,1,0.0,1.0,5,5,4,4,4,5,3,1,3,5,2,4,5,3,2,5,1,3,1,23786.973,267.782,
,0,1.0,0.0,0.0,,1.0,0.0,2,0,2,5,1,1.0,0.0,4,4,3,4,4,4,5,1,1,4,2,3,4,5,2,3,1,1,2,24705.031,911.707,
,0,1.0,0.0,0.0,,1.0,0.0,2,0,2,5,1,1.0,0.0,5,5,5,5,4,4,3,3,3,5,5,5,5,4,3,3,2,4,4,29281.996,2643.296,
,1,1.0,0.0,0.0,,0.0,0.0,2,0,2,2,1,1.0,0.0,5,5,4,5,5,5,3,3,2,5,2,2,2,2,2,3,3,4,3,25829.146,2096.561,
,1,1.0,0.0,0.0,,0.0,1.0,2,0,5,3,1,1.0,0.0,3,3,4,4,2,5,5,1,2,3,3,3,5,5,3,1,1,5,5,43160.805,1985.382,
,1,1.0,0.0,0.0,,1.0,0.0,5,3,2,5,1,1.0,0.0,5,2,5,5,3,5,2,1,2,2,2,2,5,3,1,2,1,2,4,33825.289,3047.375,
,1,1.0,0.0,0.0,,1.0,0.0,3,1,3,5,1,1.0,0.0,3,2,3,3,2,5,5,3,3,2,2,3,4,3,1,3,3,4,5,32900.48,3233.07,
,0,1.0,0.0,0.0,,1.0,0.0,2,0,2,5,1,1.0,0.0,3,3,2,2,1,3,5,1,1,3,2,2,4,5,1,3,1,1,5,33350.605,3069.464,
,1,1.0,0.0,0.0,,0.0,1.0,3,2,1,1,0,0.0,1.0,2,2,3,3,1,4,1,1,3,4,1,1,3,4,1,1,1,2,4,35272.605,2024.406,
,0,1.0,0.0,0.0,,1.0,0.0,2,0,4,2,1,1.0,0.0,5,1,5,5,5,5,5,5,1,1,1,1,5,5,1,1,1,1,3,32125.477,4064.818,
,0,1.0,0.0,0.0,,1.0,0.0,3,1,4,5,1,1.0,0.0,3,3,2,3,4,2,2,1,1,3,2,1,4,1,1,1,1,1,1,33289.398,2850.899,
,0,1.0,0.0,0.0,,0.0,1.0,2,0,2,1,0,0.0,0.0,4,1,1,1,1,4,4,4,1,1,1,1,5,5,4,1,1,1,1,29337.512,6901.209,
,1,1.0,0.0,0.0,,1.0,0.0,2,0,2,2,1,1.0,0.0,5,1,1,1,1,5,4,1,1,1,1,1,4,4,1,2,1,1,1,24361.449,1949.455,
,0,0.0,1.0,0.0,,0.0,1.0,3,0,2,4,1,0.0,0.0,5,5,5,5,5,5,5,4,5,4,3,4,5,3,1,1,1,3,5,23585.699,1386.63,
