lon,lat,county,current_zipcode,preIrma_zipcode,coast_dist
-74.02459717,40.79040527,broward,33024,33024,30 to 50 miles
-80.15180206,25.98629761,Broward,33024,33024,10 to 30 miles
-80.18000031,25.95700073,Miami Dade,33167,33167,10 to 30 miles
-82.41699982,28.01460266,hillsborough,33604,33604,10 to 30 miles
-80.41529846,26.11360168,broward,33325,33325,10 to 30 miles
-81.49279785,28.58979797,Orange,32810,32810,50 to 70 miles
-81.62480164,26.62539673,lee,33904,33904,10 to 30 miles
-80.35820007,25.70140076,Dade County,33165,33165,30 to 50 miles
-81.19909668,28.67660522,Seminole,32765,32765,More than 70 miles
-80.85230255,28.53109741,Brevard,32780,32780,1 to 10 mile
-83.03009796,30.26849365,marion,32113,32113,50 to 70 miles
-80.1710968,26.1882019,Broward,33308,33308,1 to 10 mile
-82.72899628,27.81889343,Pinellas,33777,33777,10 to 30 miles
-80.27940369,25.9828949,broward,33026,8012,10 to 30 miles
-80.40309906,25.59739685,Miami Dade,33189,33189,1 to 10 mile
-81.23480225,28.88409424,Volusia,32725,32725,10 to 30 miles
-81.62210083,28.63439941,Pinellas,34684,34684,1 to 10 mile
-82.78839874,27.9098053,Pinellas ,33764,33710,1 to 10 mile
-82.15540314,26.97720337,charlotte,33948,17011,10 to 30 miles
-82.45069885,28.05110168,Highlands County,33613,33825,10 to 30 miles
-80.10410309,26.45410156,PALM BEACH COUNTY,33445,33445,1 to 10 mile
-82.52230072,29.55259705,Alachua,32603,32603,More than 70 miles
-85.73570251,30.82569885,Okaloosa,32564,32564,10 to 30 miles
-81.7539978,30.21870422,Duval,32210,32210,10 to 30 miles
-80.29599762,26.02520752,Broward,33026,33026,10 to 30 miles
-82.79429626,27.94470215,Pinellas,33755,91601,Within 1 mile
-82.4076004,29.57310486,Alachua,32608,32608,50 to 70 miles
-74.06620026,40.75180054,Collier,34109,34109,1 to 10 mile
-118.3527985,34.1374054,miami dade,33172,33172,30 to 50 miles
-97.8219986,37.75100708,Saint Augustine,32095,32246,10 to 30 miles
-81.34670258,28.55529785,Orange,32805,32805,50 to 70 miles
-80.19110107,25.7631073,,33131,33131,10 to 30 miles
-82.76809692,28.19940186,Pasco,34653,34653,1 to 10 mile
-80.37969971,27.24980164,st lucie ,34953,34953,10 to 30 miles
-80.19110107,25.7631073,dade,33131,33131,Within 1 mile
-81.63310242,28.55499268,Orange,34786,32836,More than 70 miles
-81.90339661,28.86500549,Marion,34482,34482,30 to 50 miles
-84.33860016,30.17550659,wakulla,32327,33024,1 to 10 mile
7.016693115,51.44999695,Polk,33809,33809,More than 70 miles
-81.58719635,30.37030029,Marion,34476,34476,More than 70 miles
-81.36180115,28.83009338,Seminole,32771,32771,10 to 30 miles
-80.29239655,25.66630554,Miami dade,33155,33144,10 to 30 miles
-81.82949829,26.52839661,LEE,33912,33912,10 to 30 miles
-81.53070068,28.66160583,ORANGE,34786,34786,50 to 70 miles
-87.36009979,30.5019989,escambia,32533,32533,10 to 30 miles
